descricao,contacontabil,desc_contacontabil
distribuicao antecipada lucros a socia lara cristina kreusch valor 735.00 d,658,reserva distribuicao lucros
distribuicao antecipada lucros a socia lara cristina kreusch valor 285.00 d,658,reserva distribuicao lucros
distribuicao antecipada lucros a socia lara cristina kreusch valor 1930.00 d,658,reserva distribuicao lucros
distribuicao antecipada lucros a socia lara cristina kreusch valor 6800.00 d,658,reserva distribuicao lucros
cooper valor 20.07 d,359,material escritorio
embalagens valor 33.60 d,359,material escritorio
embalagens valor 14.19 d,359,material escritorio
embalagens valor 22.00 d,359,material escritorio
servico tomado conforme nf 3282 colinear contabilidade e financas ltda valor 297.00 d,361,assessoria contabil
servico tomado conforme nf 3592 colinear contabilidade e financas ltda valor 297.00 d,361,assessoria contabil
servico tomado conforme nf 3924 colinear contabilidade e financas ltda valor 297.00 d,361,assessoria contabil
servico tomado conforme nf 4279 colinear contabilidade e financas ltda valor 297.00 d,361,assessoria contabil
servico tomado conforme nf 4679 colinear contabilidade e financas ltda valor 297.00 d,361,assessoria contabil
servico tomado conforme nf 5064 colinear contabilidade e financas ltda valor 297.00 d,361,assessoria contabil
servico tomado conforme nf 5499 colinear contabilidade e financas ltda valor 297.00 d,361,assessoria contabil
pagamento diego valor 120.00 d,362,servicos prestados por terceiros
pagamento ifood valor 149.80 d,661,alimentacao
prestacao servicos conforme nf 431 lince participacoes e empreendimentos ltda valor 480.00 c,411,servicos prestados
prestacao servicos conforme nf 432 associacao scangels valor 580.00 c,411,servicos prestados
prestacao servicos conforme nf 433 jarise lange floriano ltda valor 650.00 c,411,servicos prestados
prestacao servicos conforme nf 434 terraza santa helena spe ltda valor 1140.00 c,411,servicos prestados
prestacao servicos conforme nf 435 terraza empreendimentos ltda valor 760.00 c,411,servicos prestados
prestacao servicos conforme nf 436 colinear contabilidade e financas ltda valor 390.00 c,411,servicos prestados
prestacao servicos conforme nf 437 aestra gestao e negocios ltda valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 438 nion acessoria valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 439 new plan construtora ltda valor 1180.00 c,411,servicos prestados
prestacao servicos conforme nf 440 agencia marketing aurea ltda valor 2600.00 c,411,servicos prestados
prestacao servicos conforme nf 441 lince participacoes e empreendimentos ltda valor 480.00 c,411,servicos prestados
prestacao servicos conforme nf 442 associacao scangels valor 580.00 c,411,servicos prestados
prestacao servicos conforme nf 443 jarise lange floriano ltda valor 650.00 c,411,servicos prestados
prestacao servicos conforme nf 444 terraza santa helena spe ltda valor 1140.00 c,411,servicos prestados
prestacao servicos conforme nf 445 terraza empreendimentos ltda valor 760.00 c,411,servicos prestados
prestacao servicos conforme nf 446 colinear contabilidade e financas ltda valor 780.00 c,411,servicos prestados
prestacao servicos conforme nf 447 aestra gestao e negocios ltda valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 448 nion acessoria valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 449 new plan construtora ltda valor 1180.00 c,411,servicos prestados
prestacao servicos conforme nf 450 agencia marketing aurea ltda valor 2600.00 c,411,servicos prestados
prestacao servicos conforme nf 451 plenum gestao empresarial ltda valor 235.00 c,411,servicos prestados
prestacao servicos conforme nf 452 plenum gestao empresarial ltda valor 145.00 c,411,servicos prestados
prestacao servicos conforme nf 453 lince participacoes e empreendimentos ltda valor 480.00 c,411,servicos prestados
prestacao servicos conforme nf 454 associacao scangels valor 580.00 c,411,servicos prestados
prestacao servicos conforme nf 455 jarise lange floriano ltda valor 650.00 c,411,servicos prestados
prestacao servicos conforme nf 456 terraza santa helena spe ltda valor 1140.00 c,411,servicos prestados
prestacao servicos conforme nf 457 terraza empreendimentos ltda valor 760.00 c,411,servicos prestados
prestacao servicos conforme nf 458 colinear contabilidade e financas ltda valor 780.00 c,411,servicos prestados
prestacao servicos conforme nf 459 aestra gestao e negocios ltda valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 460 nion acessoria valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 461 new plan construtora ltda valor 1180.00 c,411,servicos prestados
prestacao servicos conforme nf 462 new plan construtora ltda valor 632.00 c,411,servicos prestados
prestacao servicos conforme nf 463 agencia marketing aurea ltda valor 2600.00 c,411,servicos prestados
prestacao servicos conforme nf 464 agencia marketing aurea ltda valor 468.00 c,411,servicos prestados
prestacao servicos conforme nf 465 amma comercial ltda valor 675.00 c,411,servicos prestados
prestacao servicos conforme nf 466 clientes diversos valor 889.00 c,411,servicos prestados
prestacao servicos conforme nf 467 il gestao financeira ltda valor 450.00 c,411,servicos prestados
prestacao servicos conforme nf 468 lince participacoes e empreendimentos ltda valor 480.00 c,411,servicos prestados
prestacao servicos conforme nf 469 associacao scangels valor 580.00 c,411,servicos prestados
prestacao servicos conforme nf 470 jarise lange floriano ltda valor 650.00 c,411,servicos prestados
prestacao servicos conforme nf 471 terraza santa helena spe ltda valor 1140.00 c,411,servicos prestados
prestacao servicos conforme nf 472 terraza empreendimentos ltda valor 760.00 c,411,servicos prestados
prestacao servicos conforme nf 473 colinear contabilidade e financas ltda valor 780.00 c,411,servicos prestados
prestacao servicos conforme nf 474 aestra gestao e negocios ltda valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 475 nion acessoria valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 476 new plan construtora ltda valor 1180.00 c,411,servicos prestados
prestacao servicos conforme nf 477 agencia marketing aurea ltda valor 192.00 c,411,servicos prestados
prestacao servicos conforme nf 478 amma comercial ltda valor 815.00 c,411,servicos prestados
prestacao servicos conforme nf 479 nion acessoria valor 195.00 c,411,servicos prestados
prestacao servicos conforme nf 480 ana luiza gevaerd valor 1000.00 c,411,servicos prestados
prestacao servicos conforme nf 481 vs transportes ltda valor 1100.00 c,411,servicos prestados
prestacao servicos conforme nf 482 beaver comunicacao ltda valor 835.00 c,411,servicos prestados
prestacao servicos conforme nf 483 vs transportes ltda valor 260.00 c,411,servicos prestados
prestacao servicos conforme nf 484 lince participacoes e empreendimentos ltda valor 480.00 c,411,servicos prestados
prestacao servicos conforme nf 485 associacao scangels valor 580.00 c,411,servicos prestados
prestacao servicos conforme nf 486 jarise lange floriano ltda valor 650.00 c,411,servicos prestados
prestacao servicos conforme nf 487 terraza santa helena spe ltda valor 1140.00 c,411,servicos prestados
prestacao servicos conforme nf 488 terraza empreendimentos ltda valor 760.00 c,411,servicos prestados
prestacao servicos conforme nf 489 colinear contabilidade e financas ltda valor 780.00 c,411,servicos prestados
prestacao servicos conforme nf 490 aestra gestao e negocios ltda valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 491 nion acessoria valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 492 new plan construtora ltda valor 1180.00 c,411,servicos prestados
prestacao servicos conforme nf 493 ana luiza gevaerd valor 1000.00 c,411,servicos prestados
prestacao servicos conforme nf 494 beaver comunicacao ltda valor 300.00 c,411,servicos prestados
prestacao servicos conforme nf 495 beaver comunicacao ltda valor 1260.00 c,411,servicos prestados
prestacao servicos conforme nf 496 vetter empreendimentos ltda valor 285.00 c,411,servicos prestados
prestacao servicos conforme nf 497 lince participacoes e empreendimentos ltda valor 480.00 c,411,servicos prestados
prestacao servicos conforme nf 498 associacao scangels valor 580.00 c,411,servicos prestados
prestacao servicos conforme nf 499 jarise lange floriano ltda valor 650.00 c,411,servicos prestados
prestacao servicos conforme nf 500 terraza santa helena spe ltda valor 1140.00 c,411,servicos prestados
prestacao servicos conforme nf 501 terraza empreendimentos ltda valor 760.00 c,411,servicos prestados
prestacao servicos conforme nf 502 colinear contabilidade e financas ltda valor 780.00 c,411,servicos prestados
prestacao servicos conforme nf 503 aestra gestao e negocios ltda valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 504 nion acessoria valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 505 new plan construtora ltda valor 1180.00 c,411,servicos prestados
prestacao servicos conforme nf 506 ana luiza gevaerd valor 1000.00 c,411,servicos prestados
prestacao servicos conforme nf 507 beaver comunicacao ltda valor 735.00 c,411,servicos prestados
prestacao servicos conforme nf 508 eloyse konell gestao e consultoria valor 680.00 c,411,servicos prestados
prestacao servicos conforme nf 509 amma comercial ltda valor 70.00 c,411,servicos prestados
prestacao servicos conforme nf 510 vetter empreendimentos ltda valor 670.00 c,411,servicos prestados
prestacao servicos conforme nf 511 cmbr marketing e comunicacao ltda valor 230.00 c,411,servicos prestados
prestacao servicos conforme nf 512 lince participacoes e empreendimentos ltda valor 2260.00 c,411,servicos prestados
prestacao servicos conforme nf 513 associacao scangels valor 580.00 c,411,servicos prestados
prestacao servicos conforme nf 514 jarise lange floriano ltda valor 650.00 c,411,servicos prestados
prestacao servicos conforme nf 515 terraza santa helena spe ltda valor 1140.00 c,411,servicos prestados
prestacao servicos conforme nf 516 terraza empreendimentos ltda valor 760.00 c,411,servicos prestados
prestacao servicos conforme nf 517 colinear contabilidade e financas ltda valor 780.00 c,411,servicos prestados
prestacao servicos conforme nf 518 aestra gestao e negocios ltda valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 519 nion acessoria valor 340.00 c,411,servicos prestados
prestacao servicos conforme nf 520 new plan construtora ltda valor 1180.00 c,411,servicos prestados
prestacao servicos conforme nf 521 ana luiza gevaerd valor 1000.00 c,411,servicos prestados
prestacao servicos conforme nf 522 eloyse konell gestao e consultoria valor 680.00 c,411,servicos prestados
prestacao servicos conforme nf 523 new plan construtora ltda valor 794.00 c,411,servicos prestados
prestacao servicos conforme nf 524 vetter empreendimentos ltda valor 450.00 c,411,servicos prestados
prestacao servicos conforme nf 525 vetter empreendimentos ltda valor 35.00 c,411,servicos prestados
valor a recolher simples 012025 valor 507.60 d,480,simples nacional
valor a recolher simples 022025 valor 553.80 d,480,simples nacional
valor a recolher simples 032025 valor 717.84 d,480,simples nacional
valor a recolher simples 042025 valor 638.82 d,480,simples nacional
valor a recolher simples 052025 valor 545.70 d,480,simples nacional
valor a recolher simples 062025 valor 578.09 d,480,simples nacional
valor a recolher simples 072025 valor 659.34 d,480,simples nacional
referente a juros 447 aestra gestao e negocios ltda 11 valor 7.25 c,433,juros
referente a juros 459 aestra gestao e negocios ltda 11 valor 7.02 c,433,juros
referente a juros 465 amma comercial ltda 11 valor 14.39 c,433,juros
referente a juros 451 plenum gestao empresarial ltda 11 valor 7.04 c,433,juros
referente a juros 452 plenum gestao empresarial ltda 11 valor 4.34 c,433,juros
referente a juros 478 amma comercial ltda 11 valor 26.07 c,433,juros
ajuste saldo valor 10005.70 d,5,caixa
estorno clientes valor 607.15 c,5,caixa
ajuste saldo valor 430.00 c,5,caixa
transferencia saque valor 2217.38 d,5,caixa
transferencia saque valor 3877.53 d,5,caixa
transferencia saque valor 3422.82 d,5,caixa
transferencia saque valor 1569.29 d,5,caixa
transferencia saque valor 4830.90 d,5,caixa
transferencia saque valor 3246.87 d,5,caixa
transferencia saque valor 1841.18 d,5,caixa
transferencia saque valor 850.00 d,5,caixa
transferencia saque valor 3178.28 d,5,caixa
transferencia saque valor 626.02 d,5,caixa
pagamento prolabore mes 122024 valor 2513.36 c,5,caixa
pagamento folha mes 122024 valor 24184.25 c,5,caixa
pagamento estagiarios mes 122024 valor 850.00 c,5,caixa
transferencia saque valor 2029.58 d,5,caixa
transferencia saque valor 3360.00 d,5,caixa
transferencia saque valor 3600.00 d,5,caixa
transferencia saque valor 4725.00 d,5,caixa
transferencia saque valor 2000.00 d,5,caixa
transferencia saque valor 333.33 d,5,caixa
transferencia saque valor 2700.00 d,5,caixa
transferencia saque valor 3990.00 d,5,caixa
transferencia saque valor 6090.00 d,5,caixa
transferencia saque valor 180.00 d,5,caixa
recebimento cliente valor 3600.00 c,5,caixa
estorno hdi seguros valor 1164.16 c,5,caixa
pagamento participacoes lucro mes 012025 valor 26798.33 c,5,caixa
pagamento unifique valor 169.90 c,5,caixa
transferencia saque valor 100.00 d,5,caixa
transferencia saque valor 3037.02 d,5,caixa
transferencia saque valor 126.32 d,5,caixa
transferencia saque valor 10842.18 d,5,caixa
pagamento rescisao trabalhista ana caroline almeida costa valor 10842.18 c,5,caixa
transferencia saque valor 35.00 d,5,caixa
transferencia saque valor 150.00 d,5,caixa
ajuste saldo valor 15479.09 d,5,caixa
transferencia saque valor 58.20 d,5,caixa
transferencia saque valor 1480.00 d,5,caixa
transferencia saque valor 309.33 d,5,caixa
transferencia saque valor 1842.77 d,5,caixa
transferencia saque valor 2278.07 d,5,caixa
transferencia saque valor 3067.28 d,5,caixa
transferencia saque valor 3486.69 d,5,caixa
transferencia saque valor 3915.06 d,5,caixa
transferencia saque valor 1750.57 d,5,caixa
transferencia saque valor 4975.24 d,5,caixa
pagamento folha mes 012025 valor 21315.68 c,5,caixa
pagamento prolabore mes 012025 valor 2702.04 c,5,caixa
pagamento estagiarios mes 012025 valor 850.00 c,5,caixa
transferencia saque valor 90.76 d,5,caixa
transferencia saque valor 198.55 d,5,caixa
transferencia saque valor 156.00 d,5,caixa
transferencia saque valor 38.04 d,5,caixa
transferencia saque valor 785.97 d,5,caixa
pagamento ferias amanda cristina freiberger valor 785.97 c,5,caixa
transferencia saque valor 1190.00 d,5,caixa
pagamento rescisao trabalhista camili naara starosky valor 1190.00 c,5,caixa
transferencia saque valor 293.00 d,5,caixa
transferencia saque valor 8090.00 d,5,caixa
transferencia saque valor 15000.00 d,5,caixa
transferencia saque valor 2969.26 d,5,caixa
transferencia saque valor 949.67 d,5,caixa
transferencia saque valor 3964.85 d,5,caixa
transferencia saque valor 1721.44 d,5,caixa
transferencia saque valor 2479.77 d,5,caixa
transferencia saque valor 2024.77 d,5,caixa
transferencia saque valor 2763.31 d,5,caixa
transferencia saque valor 4932.32 d,5,caixa
transferencia saque valor 15.00 d,5,caixa
transferencia saque valor 161.84 d,5,caixa
transferencia saque valor 3485.46 d,5,caixa
transferencia saque valor 793.33 d,5,caixa
transferencia saque valor 20.00 d,5,caixa
transferencia saque valor 1500.00 d,5,caixa
pagamento folha mes 022025 valor 27012.29 c,5,caixa
pagamento prolabore mes 022025 valor 2702.04 c,5,caixa
pagamento estagiarios mes 022025 valor 793.33 c,5,caixa
transferencia saque valor 161.99 d,5,caixa
transferencia saque valor 2500.00 d,5,caixa
transferencia saque valor 5000.00 d,5,caixa
transferencia saque valor 15.99 d,5,caixa
transferencia saque valor 5150.56 d,5,caixa
pagamento ferias vinicius fuhr borba valor 5150.56 c,5,caixa
transferencia saque valor 4995.75 d,5,caixa
transferencia saque valor 2734.09 d,5,caixa
transferencia saque valor 3933.27 d,5,caixa
transferencia saque valor 558.34 d,5,caixa
pagamento rescisao trabalhista alyson christian correa valor 558.34 c,5,caixa
pagamento folha mes 032025 valor 28850.11 c,5,caixa
pagamento prolabore mes 032025 valor 2702.04 c,5,caixa
transferencia saque valor 4500.00 d,5,caixa
transferencia saque valor 481.65 d,5,caixa
transferencia saque valor 484.07 d,5,caixa
transferencia saque valor 111.00 d,5,caixa
transferencia saque valor 187.77 d,5,caixa
transferencia saque valor 700.00 d,5,caixa
transferencia saque valor 2871.96 d,5,caixa
transferencia saque valor 3505.77 d,5,caixa
transferencia saque valor 3856.08 d,5,caixa
transferencia saque valor 185.00 d,5,caixa
transferencia saque valor 3504.54 d,5,caixa
transferencia saque valor 2714.31 d,5,caixa
transferencia saque valor 3564.74 d,5,caixa
pagamento folha mes 042025 valor 27937.48 c,5,caixa
pagamento prolabore mes 042025 valor 2702.04 c,5,caixa
transferencia saque valor 40.00 d,5,caixa
transferencia saque valor 1569.23 d,5,caixa
transferencia saque valor 400.00 d,5,caixa
transferencia saque valor 8325.00 d,5,caixa
transferencia saque valor 2103.75 d,5,caixa
transferencia saque valor 2778.44 d,5,caixa
transferencia saque valor 4957.16 d,5,caixa
transferencia saque valor 3924.08 d,5,caixa
transferencia saque valor 2401.27 d,5,caixa
transferencia saque valor 2910.30 d,5,caixa
transferencia saque valor 2297.77 d,5,caixa
transferencia saque valor 25.98 d,5,caixa
pagamento folha mes 052025 valor 30690.64 c,5,caixa
pagamento prolabore mes 052025 valor 2702.04 c,5,caixa
transferencia saque valor 216.85 d,5,caixa
transferencia saque valor 18.30 d,5,caixa
transferencia saque valor 3339.02 d,5,caixa
transferencia saque valor 16.15 d,5,caixa
transferencia saque valor 7326.00 d,5,caixa
ajuste saldo valor 366.28 d,5,caixa
distribuicao lucros a edson feler valor 39972.24 c,5,caixa
distribuicao lucros a edson eger valor 39972.24 c,5,caixa
distribuicao lucros a edson eger valor 8816.09 c,5,caixa
distribuicao lucros a edson feler valor 8816.09 c,5,caixa
transferencia entre contas valor 2000.00 d,613,sicoob indaial 582026
transferencia entre contas valor 2950.00 d,613,sicoob indaial 582026
ajuste saldo valor 15479.09 c,613,sicoob indaial 582026
transferencia entre contas valor 5000.00 d,613,sicoob indaial 582026
pagamento compra mastercard valor 7.00 c,613,sicoob indaial 582026
pagamento debconvdemais empresas valor 155.00 c,613,sicoob indaial 582026
pagamento unifique valor 181.37 c,613,sicoob indaial 582026
pagamento unifique valor 38.49 c,613,sicoob indaial 582026
referente a tarifas e encargos valor 60.00 c,613,sicoob indaial 582026
transferencia entre contas valor 2233.00 d,613,sicoob indaial 582026
pagamento compra mastercard valor 50.00 c,613,sicoob indaial 582026
transferencia entre contas valor 280.13 d,613,sicoob indaial 582026
pagamento debconvdemais empresas valor 485.19 c,613,sicoob indaial 582026
referente a tarifas e encargos valor 38.49 c,613,sicoob indaial 582026
pagamento compra mastercard valor 1127.30 c,613,sicoob indaial 582026
transferencia entre contas valor 16.00 d,613,sicoob indaial 582026
transferencia entre contas valor 131.02 d,613,sicoob indaial 582026
ajuste saldo valor 366.28 c,613,sicoob indaial 582026
recebimento cliente valor 637.53 d,5075,efi bank
recebimento cliente valor 250.37 d,5075,efi bank
recebimento cliente valor 988.05 d,5075,efi bank
referente a tarifas e encargos valor 3.95 c,5075,efi bank
transferencia entre contas valor 8000.00 c,5075,efi bank
recebimento cliente valor 582.15 d,5075,efi bank
recebimento cliente valor 500.00 d,5075,efi bank
recebimento cliente valor 927.91 d,5075,efi bank
recebimento cliente valor 1962.01 d,5075,efi bank
recebimento cliente valor 3500.00 d,5075,efi bank
recebimento cliente valor 1380.00 d,5075,efi bank
recebimento cliente valor 900.00 d,5075,efi bank
recebimento cliente valor 1393.89 d,5075,efi bank
recebimento cliente valor 3600.00 d,5075,efi bank
recebimento cliente valor 1297.74 d,5075,efi bank
recebimento cliente valor 1926.46 d,5075,efi bank
recebimento cliente valor 1100.00 d,5075,efi bank
recebimento cliente valor 180.00 d,5075,efi bank
recebimento cliente valor 155.68 d,5075,efi bank
transferencia entre contas valor 15000.00 c,5075,efi bank
recebimento cliente valor 700.00 d,5075,efi bank
recebimento cliente valor 100.00 d,5075,efi bank
recebimento cliente valor 1003.13 d,5075,efi bank
recebimento cliente valor 1320.96 d,5075,efi bank
recebimento cliente valor 333.11 d,5075,efi bank
recebimento cliente valor 737.04 d,5075,efi bank
recebimento cliente valor 450.00 d,5075,efi bank
recebimento cliente valor 2450.00 d,5075,efi bank
transferencia entre contas valor 10000.00 c,5075,efi bank
recebimento cliente valor 1995.61 d,5075,efi bank
recebimento cliente valor 184.49 d,5075,efi bank
recebimento cliente valor 204.99 d,5075,efi bank
recebimento cliente valor 1780.00 d,5075,efi bank
recebimento cliente valor 2717.07 d,5075,efi bank
transferencia entre contas valor 5000.00 c,5075,efi bank
recebimento cliente valor 380.00 d,5075,efi bank
recebimento cliente valor 1100.02 d,5075,efi bank
recebimento cliente valor 519.83 d,5075,efi bank
recebimento cliente valor 3208.58 d,5075,efi bank
recebimento cliente valor 290.00 d,5075,efi bank
recebimento cliente valor 2066.26 d,5075,efi bank
recebimento cliente valor 600.00 d,5075,efi bank
recebimento cliente valor 594.00 d,5075,efi bank
recebimento cliente valor 1362.90 d,5075,efi bank
recebimento cliente valor 121.00 d,5075,efi bank
recebimento cliente valor 195.02 d,5075,efi bank
recebimento cliente valor 3337.83 d,5075,efi bank
recebimento cliente valor 70.00 d,5075,efi bank
recebimento cliente valor 1302.39 d,5075,efi bank
recebimento cliente valor 157.70 d,5075,efi bank
recebimento cliente valor 295.00 d,5075,efi bank
recebimento cliente valor 1624.46 d,5075,efi bank
recebimento cliente valor 3320.96 d,5075,efi bank
recebimento cliente valor 1500.00 d,5075,efi bank
recebimento cliente valor 3176.32 d,5075,efi bank
recebimento cliente valor 1530.10 d,5075,efi bank
recebimento cliente valor 150.00 d,5075,efi bank
recebimento cliente valor 703.12 d,5075,efi bank
recebimento cliente valor 2615.90 d,5075,efi bank
recebimento cliente valor 1345.18 d,5075,efi bank
recebimento cliente valor 759.19 d,5075,efi bank
recebimento cliente valor 250.00 d,5075,efi bank
recebimento cliente valor 565.06 d,5075,efi bank
recebimento cliente valor 580.00 d,5075,efi bank
recebimento cliente valor 1050.57 d,5075,efi bank
recebimento cliente valor 815.30 d,5075,efi bank
recebimento cliente valor 891.00 d,5075,efi bank
recebimento cliente valor 1010.97 d,5075,efi bank
recebimento cliente valor 200.00 d,5075,efi bank
recebimento cliente valor 222.85 d,5075,efi bank
recebimento cliente valor 770.06 d,5075,efi bank
recebimento cliente valor 300.00 d,5075,efi bank
recebimento cliente valor 982.09 d,5075,efi bank
recebimento cliente valor 739.69 d,5075,efi bank
recebimento cliente valor 358.73 d,5075,efi bank
recebimento cliente valor 210.00 d,5075,efi bank
recebimento cliente valor 158.84 d,5075,efi bank
recebimento cliente valor 1314.10 d,5075,efi bank
recebimento cliente valor 3291.50 d,5075,efi bank
recebimento cliente valor 374.00 d,5075,efi bank
recebimento cliente valor 908.69 d,5075,efi bank
recebimento cliente valor 956.62 d,5075,efi bank
recebimento cliente valor 350.00 d,5075,efi bank
recebimento cliente valor 1127.52 d,5075,efi bank
recebimento cliente valor 184.43 d,5075,efi bank
recebimento cliente valor 187.74 d,5075,efi bank
recebimento cliente valor 563.00 d,5075,efi bank
recebimento cliente valor 3932.42 d,5075,efi bank
recebimento cliente valor 149.65 d,5075,efi bank
recebimento cliente valor 190.00 d,5075,efi bank
transferencia entre contas valor 25000.00 c,5075,efi bank
recebimento cliente valor 1317.53 d,5075,efi bank
recebimento cliente valor 1102.55 d,5075,efi bank
recebimento cliente valor 800.00 d,5075,efi bank
recebimento cliente valor 520.82 d,5075,efi bank
transferencia entre contas valor 20000.00 c,5075,efi bank
recebimento cliente valor 340.00 d,5075,efi bank
recebimento cliente valor 950.00 d,5075,efi bank
recebimento cliente valor 255.08 d,5075,efi bank
recebimento cliente valor 3400.00 d,5075,efi bank
transferencia entre contas valor 30000.00 c,5075,efi bank
recebimento cliente valor 674.00 d,5075,efi bank
recebimento cliente valor 1372.89 d,5075,efi bank
recebimento cliente valor 140.79 d,5075,efi bank
recebimento cliente valor 205.66 d,5075,efi bank
recebimento cliente valor 3478.64 d,5075,efi bank
transferencia entre contas valor 40000.00 c,5075,efi bank
transferencia entre contas valor 33000.00 c,5075,efi bank
recebimento cliente valor 656.00 d,5075,efi bank
recebimento cliente valor 189.28 d,5075,efi bank
recebimento cliente valor 155.99 d,5075,efi bank
recebimento cliente valor 645.00 d,5075,efi bank
recebimento cliente valor 6000.00 d,5075,efi bank
transferencia entre contas valor 29000.00 c,5075,efi bank
recebimento cliente valor 550.00 d,5075,efi bank
recebimento cliente valor 400.00 d,5075,efi bank
transferencia entre contas valor 19000.00 c,5075,efi bank
transferencia entre contas valor 4000.00 c,5075,efi bank
transferencia entre contas valor 27000.00 c,5075,efi bank
recebimento cliente valor 1800.00 d,5075,efi bank
recebimento cliente valor 5900.00 d,5075,efi bank
recebimento cliente valor 1000.00 d,5075,efi bank
transferencia entre contas valor 23000.00 c,5075,efi bank
recebimento cliente valor 437.50 d,5075,efi bank
recebimento cliente valor 2800.00 d,5075,efi bank
recebimento cliente valor 165.48 d,5075,efi bank
recebimento cliente valor 1398.33 d,5075,efi bank
recebimento cliente valor 688.00 d,5075,efi bank
recebimento cliente valor 206.85 d,5075,efi bank
recebimento cliente valor 184.31 d,5075,efi bank
recebimento cliente valor 204.92 d,5075,efi bank
recebimento cliente valor 186.16 d,5075,efi bank
recebimento cliente valor 182.78 d,5075,efi bank
transferencia entre contas valor 28000.00 c,5075,efi bank
recebimento cliente valor 188.01 d,5075,efi bank
recebimento cliente valor 208.90 d,5075,efi bank
recebimento cliente valor 306.30 d,5075,efi bank
transferencia entre contas valor 18000.00 c,5075,efi bank
recebimento cliente valor 3392.10 d,5075,efi bank
recebimento cliente valor 306.09 d,5075,efi bank
recebimento cliente valor 227.37 d,5075,efi bank
transferencia entre contas valor 22000.00 c,5075,efi bank
transferencia entre contas valor 12000.00 c,5075,efi bank
recebimento cliente valor 209.72 d,5075,efi bank
recebimento cliente valor 682.00 d,5075,efi bank
recebimento cliente valor 5586.07 d,5075,efi bank
recebimento cliente valor 112.00 d,5075,efi bank
recebimento cliente valor 184.11 d,5075,efi bank
recebimento cliente valor 1419.03 d,5075,efi bank
transferencia entre contas valor 26000.00 c,5075,efi bank
recebimento cliente valor 1750.00 d,5075,efi bank
transferencia entre contas valor 9000.00 c,5075,efi bank
debito pacote servicos valor 26.90 c,5074,sicoob blumenau 4609920
pagamento 12110 nuvme ltda 11 valor 1500.00 c,5074,sicoob blumenau 4609920
transferencia entre contas valor 8000.00 d,5074,sicoob blumenau 4609920
tgw valor 40000.00 d,5074,sicoob blumenau 4609920
distribuicao lucros a edson eger valor 15000.00 c,5074,sicoob blumenau 4609920
distribuicao lucros a edson feler valor 15000.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 2217.38 c,5074,sicoob blumenau 4609920
transferencia saque valor 3877.53 c,5074,sicoob blumenau 4609920
transferencia saque valor 3422.82 c,5074,sicoob blumenau 4609920
transferencia saque valor 1569.29 c,5074,sicoob blumenau 4609920
transferencia saque valor 4830.90 c,5074,sicoob blumenau 4609920
transferencia saque valor 3246.87 c,5074,sicoob blumenau 4609920
transferencia saque valor 1841.18 c,5074,sicoob blumenau 4609920
transferencia saque valor 850.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 3178.28 c,5074,sicoob blumenau 4609920
transferencia saque valor 626.02 c,5074,sicoob blumenau 4609920
pagamento nuvme valor 1407.75 c,5074,sicoob blumenau 4609920
pagamento nuvme valor 1000.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 2029.58 c,5074,sicoob blumenau 4609920
transferencia saque valor 3360.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 3600.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 4725.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 2000.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 333.33 c,5074,sicoob blumenau 4609920
transferencia saque valor 2700.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 3990.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 6090.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 180.00 c,5074,sicoob blumenau 4609920
debtit valor 90.00 c,5074,sicoob blumenau 4609920
transferencia entre contas valor 15000.00 d,5074,sicoob blumenau 4609920
pagamento unimed valor 2428.72 c,5074,sicoob blumenau 4609920
pagamento colinear valor 450.00 c,5074,sicoob blumenau 4609920
pagamento termica nova valor 116.62 c,5074,sicoob blumenau 4609920
pagamento acucareiro valor 53.84 c,5074,sicoob blumenau 4609920
marketing valor 400.00 c,5074,sicoob blumenau 4609920
transferencia saque valor 100.00 c,5074,sicoob blumenau 4609920
transferencia entre contas valor 2000.00 c,5074,sicoob blumenau 4609920
debtit valor 100.00 c,5074,sicoob blumenau 4609920
transferencia entre contas valor 10000.00 d,5074,sicoob blumenau 4609920
debito recarga prepaga valor 20.00 c,5074,sicoob blumenau 4609920
transferencia entre contas valor 5000.00 d,5074,sicoob blumenau 4609920
