23/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"3,320.96",,,,"3,629.75d",,,,,,"24,781.25d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,625.80d",,,,,,"24,777.30d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,621.85d",,,,,,"24,773.35d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,617.90d",,,,,,"24,769.40d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,613.95d",,,,,,"24,765.45d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,610.00d",,,,,,"24,761.50d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,606.05d",,,,,,"24,757.55d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,602.10d",,,,,,"24,753.60d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,598.15d",,,,,,"24,749.65d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,594.20d",,,,,,"24,745.70d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,590.25d",,,,,,"24,741.75d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,586.30d",,,,,,"24,737.80d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,582.35d",,,,,,"24,733.85d",,
23/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,578.40d",,,,,,"24,729.90d",,
24/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,637.53,,,,"4,215.93d",,,,,,"25,367.43d",,
24/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"4,211.98d",,,,,,"25,363.48d",,
25/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,050.57",,,,"5,262.55d",,,,,,"26,414.05d",,
25/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,150.00,,,,"5,412.55d",,,,,,"26,564.05d",,
25/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,580.00,,,,"5,992.55d",,,,,,"27,144.05d",,
25/04/2025,,,,,TRANSFERÊNCIA ENTRE CONTAS ,,,,,,,,,,5074,,,,"27,000.00",,"21,007.45c",,,,,,144.05d,,
25/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"21,011.40c",,,,,,140.10d,,
25/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"21,015.35c",,,,,,136.15d,,
25/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"21,019.30c",,,,,,132.20d,,
28/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,314.10",,,,"19,705.20c",,,,,,"1,446.30d",,
28/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,200.00,,,,"19,505.20c",,,,,,"1,646.30d",,
28/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,010.97",,,,"18,494.23c",,,,,,"2,657.27d",,
28/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,300.00,,,,"18,194.23c",,,,,,"2,957.27d",,
28/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,770.06,,,,"17,424.17c",,,,,,"3,727.33d",,
28/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,891.00,,,,"16,533.17c",,,,,,"4,618.33d",,
28/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,900.00,,,,"15,633.17c",,,,,,"5,518.33d",,
28/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,800.00",,,,"13,833.17c",,,,,,"7,318.33d",,
28/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,982.09,,,,"12,851.08c",,,,,,"8,300.42d",,
28/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"12,855.03c",,,,,,"8,296.47d",,
28/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"12,858.98c",,,,,,"8,292.52d",,
28/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"12,862.93c",,,,,,"8,288.57d",,
28/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"12,866.88c",,,,,,"8,284.62d",,
28/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"12,870.83c",,,,,,"8,280.67d",,
28/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"12,874.78c",,,,,,"8,276.72d",,
28/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"12,878.73c",,,,,,"8,272.77d",,
28/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"12,882.68c",,,,,,"8,268.82d",,
28/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"12,886.63c",,,,,,"8,264.87d",,
29/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,380.00,,,,"12,506.63c",,,,,,"8,644.87d",,
29/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"5,900.00",,,,"6,606.63c",,,,,,"14,544.87d",,
29/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,210.00,,,,"6,396.63c",,,,,,"14,754.87d",,
29/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,222.85,,,,"6,173.78c",,,,,,"14,977.72d",,
29/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"6,177.73c",,,,,,"14,973.77d",,
29/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"6,181.68c",,,,,,"14,969.82d",,
29/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"6,185.63c",,,,,,"14,965.87d",,
29/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"6,189.58c",,,,,,"14,961.92d",,
30/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,000.00",,,,"5,189.58c",,,,,,"15,961.92d",,
30/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,908.69,,,,"4,280.89c",,,,,,"16,870.61d",,
30/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,956.62,,,,"3,324.27c",,,,,,"17,827.23d",,
30/04/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"3,291.50",,,,32.77c,,,,,,"21,118.73d",,
30/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,36.72c,,,,,,"21,114.78d",,
30/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,40.67c,,,,,,"21,110.83d",,
30/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,44.62c,,,,,,"21,106.88d",,
30/04/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,48.57c,,,,,,"21,102.93d",,
02/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,500.00,,,,500.00d,,,,,,"21,602.93d",,
02/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,250.00,,,,750.00d,,,,,,"21,852.93d",,
02/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,500.00,,,,"1,250.00d",,,,,,"22,352.93d",,
02/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"1,246.05d",,,,,,"22,348.98d",,
02/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"1,242.10d",,,,,,"22,345.03d",,
02/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"1,238.15d",,,,,,"22,341.08d",,
05/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,003.13",,,,"2,241.28d",,,,,,"23,344.21d",,
05/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,100.00,,,,"2,341.28d",,,,,,"23,444.21d",,
05/05/2025,,,,,TRANSFERÊNCIA ENTRE CONTAS ,,,,,,,,,,5074,,,,"23,000.00",,"20,658.72c",,,,,,444.21d,,
05/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"20,662.67c",,,,,,440.26d,,
05/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"20,666.62c",,,,,,436.31d,,
06/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"3,500.00",,,,"17,166.62c",,,,,,"3,936.31d",,
06/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,988.05,,,,"16,178.57c",,,,,,"4,924.36d",,
06/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"16,182.52c",,,,,,"4,920.41d",,
06/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"16,186.47c",,,,,,"4,916.46d",,
08/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,250.37,,,,"15,936.10c",,,,,,"5,166.83d",,
08/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,437.50,,,,"15,498.60c",,,,,,"5,604.33d",,
08/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"15,502.55c",,,,,,"5,600.38d",,
08/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"15,506.50c",,,,,,"5,596.43d",,
09/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,297.74",,,,"14,208.76c",,,,,,"6,894.17d",,
09/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,815.30,,,,"13,393.46c",,,,,,"7,709.47d",,
09/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,393.89",,,,"11,999.57c",,,,,,"9,103.36d",,
09/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"2,800.00",,,,"9,199.57c",,,,,,"11,903.36d",,
09/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,900.00,,,,"8,299.57c",,,,,,"12,803.36d",,
09/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"8,303.52c",,,,,,"12,799.41d",,
09/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"8,307.47c",,,,,,"12,795.46d",,
09/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"8,311.42c",,,,,,"12,791.51d",,
09/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"8,315.37c",,,,,,"12,787.56d",,
09/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"8,319.32c",,,,,,"12,783.61d",,
12/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,962.01",,,,"6,357.31c",,,,,,"14,745.62d",,
12/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,995.61",,,,"4,361.70c",,,,,,"16,741.23d",,
12/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,165.48,,,,"4,196.22c",,,,,,"16,906.71d",,
12/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,398.33",,,,"2,797.89c",,,,,,"18,305.04d",,
12/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"3,400.00",,,,602.11d,,,,,,"21,705.04d",,
12/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,100.00",,,,"1,702.11d",,,,,,"22,805.04d",,
12/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,688.00,,,,"2,390.11d",,,,,,"23,493.04d",,
12/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,700.00,,,,"3,090.11d",,,,,,"24,193.04d",,
12/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,927.91,,,,"4,018.02d",,,,,,"25,120.95d",,
12/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"4,014.07d",,,,,,"25,117.00d",,
12/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"4,010.12d",,,,,,"25,113.05d",,
12/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"4,006.17d",,,,,,"25,109.10d",,
12/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"4,002.22d",,,,,,"25,105.15d",,
12/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,998.27d",,,,,,"25,101.20d",,
12/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,994.32d",,,,,,"25,097.25d",,
12/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,990.37d",,,,,,"25,093.30d",,
12/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,986.42d",,,,,,"25,089.35d",,
12/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,982.47d",,,,,,"25,085.40d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,206.85,,,,"4,189.32d",,,,,,"25,292.25d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,184.31,,,,"4,373.63d",,,,,,"25,476.56d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,204.92,,,,"4,578.55d",,,,,,"25,681.48d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,186.16,,,,"4,764.71d",,,,,,"25,867.64d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,180.00,,,,"4,944.71d",,,,,,"26,047.64d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,155.68,,,,"5,100.39d",,,,,,"26,203.32d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,182.78,,,,"5,283.17d",,,,,,"26,386.10d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,500.00,,,,"5,783.17d",,,,,,"26,886.10d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,450.00,,,,"6,233.17d",,,,,,"27,336.10d",,
13/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"2,450.00",,,,"8,683.17d",,,,,,"29,786.10d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"8,679.22d",,,,,,"29,782.15d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"8,675.27d",,,,,,"29,778.20d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"8,671.32d",,,,,,"29,774.25d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"8,667.37d",,,,,,"29,770.30d",,
13/05/2025,,,,,TRANSFERÊNCIA ENTRE CONTAS ,,,,,,,,,,5074,,,,"28,000.00",,"19,332.63c",,,,,,"1,770.30d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"19,336.58c",,,,,,"1,766.35d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"19,340.53c",,,,,,"1,762.40d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"19,344.48c",,,,,,"1,758.45d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"19,348.43c",,,,,,"1,754.50d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"19,352.38c",,,,,,"1,750.55d",,
13/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"19,356.33c",,,,,,"1,746.60d",,
14/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,320.96",,,,"18,035.37c",,,,,,"3,067.56d",,
14/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,188.01,,,,"17,847.36c",,,,,,"3,255.57d",,
14/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,208.90,,,,"17,638.46c",,,,,,"3,464.47d",,
14/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"17,642.41c",,,,,,"3,460.52d",,
14/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"17,646.36c",,,,,,"3,456.57d",,
14/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"17,650.31c",,,,,,"3,452.62d",,
15/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"3,208.58",,,,"14,441.73c",,,,,,"6,661.20d",,
15/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,380.00,,,,"14,061.73c",,,,,,"7,041.20d",,
15/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,100.02",,,,"12,961.71c",,,,,,"8,141.22d",,
15/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,519.83,,,,"12,441.88c",,,,,,"8,661.05d",,
15/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,780.00",,,,"10,661.88c",,,,,,"10,441.05d",,
15/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,950.00,,,,"9,711.88c",,,,,,"11,391.05d",,
15/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,250.00,,,,"9,461.88c",,,,,,"11,641.05d",,
15/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"9,465.83c",,,,,,"11,637.10d",,
15/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"9,469.78c",,,,,,"11,633.15d",,
15/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"9,473.73c",,,,,,"11,629.20d",,
15/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"9,477.68c",,,,,,"11,625.25d",,
15/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"9,481.63c",,,,,,"11,621.30d",,
15/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"9,485.58c",,,,,,"11,617.35d",,
15/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"9,489.53c",,,,,,"11,613.40d",,
16/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,582.15,,,,"8,907.38c",,,,,,"12,195.55d",,
16/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,600.00,,,,"8,307.38c",,,,,,"12,795.55d",,
16/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,306.30,,,,"8,001.08c",,,,,,"13,101.85d",,
16/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,739.69,,,,"7,261.39c",,,,,,"13,841.54d",,
16/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"2,066.26",,,,"5,195.13c",,,,,,"15,907.80d",,
16/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,190.00,,,,"5,005.13c",,,,,,"16,097.80d",,
16/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"2,717.07",,,,"2,288.06c",,,,,,"18,814.87d",,
16/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,70.00,,,,"2,218.06c",,,,,,"18,884.87d",,
16/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"2,222.01c",,,,,,"18,880.92d",,
16/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"2,225.96c",,,,,,"18,876.97d",,
16/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"2,229.91c",,,,,,"18,873.02d",,
16/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"2,233.86c",,,,,,"18,869.07d",,
16/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"2,237.81c",,,,,,"18,865.12d",,
16/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"2,241.76c",,,,,,"18,861.17d",,
16/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"2,245.71c",,,,,,"18,857.22d",,
16/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"2,249.66c",,,,,,"18,853.27d",,
19/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,302.39",,,,947.27c,,,,,,"20,155.66d",,
19/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"3,320.96",,,,"2,373.69d",,,,,,"23,476.62d",,
19/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,350.00,,,,"2,723.69d",,,,,,"23,826.62d",,
19/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,333.11,,,,"3,056.80d",,,,,,"24,159.73d",,
19/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,052.85d",,,,,,"24,155.78d",,
19/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,048.90d",,,,,,"24,151.83d",,
19/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,044.95d",,,,,,"24,147.88d",,
19/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,"3,041.00d",,,,,,"24,143.93d",,
19/05/2025,,,,,TRANSFERÊNCIA ENTRE CONTAS ,,,,,,,,,,5074,,,,"18,000.00",,"14,959.00c",,,,,,"6,143.93d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,250.00,,,,"14,709.00c",,,,,,"6,393.93d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,102.55",,,,"13,606.45c",,,,,,"7,496.48d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,530.10",,,,"12,076.35c",,,,,,"9,026.58d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,358.73,,,,"11,717.62c",,,,,,"9,385.31d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,317.53",,,,"10,400.09c",,,,,,"10,702.84d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,200.00,,,,"10,200.09c",,,,,,"10,902.84d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"1,624.46",,,,"8,575.63c",,,,,,"12,527.30d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,295.00,,,,"8,280.63c",,,,,,"12,822.30d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"3,337.83",,,,"4,942.80c",,,,,,"16,160.13d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,"3,392.10",,,,"1,550.70c",,,,,,"19,552.23d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,737.04,,,,813.66c,,,,,,"20,289.27d",,
20/05/2025,,,,,RECEBIMENTO CLIENTE,,,,,,,,,,504,,100.00,,,,713.66c,,,,,,"20,389.27d",,
20/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,717.61c,,,,,,"20,385.32d",,
20/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,721.56c,,,,,,"20,381.37d",,
20/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,725.51c,,,,,,"20,377.42d",,
20/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,729.46c,,,,,,"20,373.47d",,
20/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,733.41c,,,,,,"20,369.52d",,
20/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,737.36c,,,,,,"20,365.57d",,
20/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,741.31c,,,,,,"20,361.62d",,
20/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,745.26c,,,,,,"20,357.67d",,
20/05/2025,,,,,REFERENTE A TARIFAS E ENCARGOS ,,,,,,,,,,628,,,,3.95,,749.21c,,,,,,"20,353.72d",,
